feature,mean_abs_shap
mordred.AXp-4d,0.009970723878077672
mordred.MINdsCH,0.0076305031748080355
mordred.n6HRing,0.006028842130233114
mordred.SssO,0.004167100792626746
mordred.MAXsOH,0.004110136392735753
ge.IKZF1,0.0038166280728566164
mordred.GATS5i,0.0034652553279040242
ge.PRSS23,0.003389176346900744
mordred.SpDiam_DzZ,0.00337849905255608
mordred.AATS3se,0.0032263864772319626
mordred.GATS3Z,0.0028584082480472527
mordred.BCUTc-1l,0.0028445345740127736
ge.SQSTM1,0.002655643024059015
mordred.MDEC-34,0.002515829339255557
mordred.SssCH2,0.0021620244475560654
mordred.AATS7v,0.002104877355038127
mordred.EState_VSA4,0.0020739659088047516
mordred.GATS3pe,0.002070295778286749
ge.FBXO11,0.001996946313568002
mordred.SaasC,0.0019021179484327519
ge.SENP6,0.001898102424512111
mordred.piPC9,0.0017718787928771257
mordred.MAXssNH,0.0016918959792764764
mordred.MDEN-33,0.0016867758519156187
mordred.GATS8s,0.001680699767957478
