feature,mean_abs_shap
mordred.AXp-4d,0.007129778657728116
mordred.n6HRing,0.006885700603702829
mordred.MINdsCH,0.005347857159154825
mordred.SpDiam_DzZ,0.004853964949892944
mordred.SssO,0.00416133421359571
ge.IKZF1,0.003984298187116213
ge.PRSS23,0.0035656569559748036
mordred.GATS5i,0.0033980056096493782
mordred.AATS3se,0.0032341626451752466
ge.SQSTM1,0.002860036819443904
mordred.MAXsOH,0.0028286106304829975
mordred.BCUTc-1l,0.002700933334128722
mordred.AATS6v,0.0022139722774169477
mordred.GATS3pe,0.002146484848135774
mordred.GATS3Z,0.002086067631944583
mordred.GATS8s,0.0019268555765013756
mordred.SaasC,0.0019069140431712804
mordred.ATSC7p,0.0018413315236679231
ge.FBXO11,0.001793158028103876
mordred.SssCH2,0.001759256775972458
ge.SENP6,0.0017393173753647562
mordred.EState_VSA4,0.001683781954591994
mordred.SLogP,0.0016650161261167287
mordred.SpDiam_D,0.0016584207230111857
ge.PPIC,0.0016465598321612786
