feature,mean_abs_shap
mordred.AXp-4d,0.02200164532044857
mordred.SssO,0.011467569753928078
mordred.MAXsOH,0.009658666499279562
mordred.nB,0.009398294154672955
mordred.AATS3se,0.007035870317612379
mordred.n6HRing,0.0062889662860709655
mordred.MDEC-34,0.005803379924721025
mordred.MAXsssB,0.005261610289762513
ge.IKZF1,0.004583821417755137
ge.PRSS23,0.004017290329450248
mordred.GATS5i,0.003803739611148905
mordred.SpDiam_DzZ,0.0034586380784708635
mordred.BCUTc-1l,0.003317399767898618
mordred.GATS3Z,0.0031905962950174002
mordred.ATSC7p,0.0028004169149191717
ge.SQSTM1,0.0027479941437149346
mordred.BCUTZ-1l,0.0025318132332728667
mordred.MDEO-12,0.002514026344994522
ge.SENP6,0.0023723808770049586
ge.FBXO11,0.002310098419201215
mordred.AATSC4Z,0.0022689572561499583
mordred.GATS3d,0.002252075254425226
mordred.ATSC3pe,0.0021628280953094685
mordred.GATS3pe,0.0021605308139994762
mordred.ATSC1i,0.002120924812923868
