hours,minutes,seconds,src,trg,split,tot_mins,model,stage
0,2,35.85063815116882,CCLE,CCLE,0,2,deepcdr,preprocess
0,2,35.195526361465454,CCLE,CCLE,1,2,deepcdr,preprocess
0,2,40.133559465408325,CCLE,CCLE,2,2,deepcdr,preprocess
0,2,35.28305006027222,CCLE,CCLE,3,2,deepcdr,preprocess
0,2,35.02735352516174,CCLE,CCLE,4,2,deepcdr,preprocess
0,2,37.648268699646,CCLE,CCLE,5,2,deepcdr,preprocess
0,3,59.14314293861389,CCLE,CCLE,6,3,deepcdr,preprocess
0,2,37.88533878326416,CCLE,CCLE,7,2,deepcdr,preprocess
0,2,38.32715725898743,CCLE,CCLE,8,2,deepcdr,preprocess
0,2,35.77325749397278,CCLE,CCLE,9,2,deepcdr,preprocess
0,2,36.18704319000244,CCLE,CTRPv2,0,2,deepcdr,preprocess
0,2,36.95894718170166,CCLE,CTRPv2,1,2,deepcdr,preprocess
0,2,42.78831148147583,CCLE,CTRPv2,2,2,deepcdr,preprocess
0,2,36.99814486503601,CCLE,CTRPv2,3,2,deepcdr,preprocess
0,2,38.02023887634277,CCLE,CTRPv2,4,2,deepcdr,preprocess
0,2,36.606689453125,CCLE,CTRPv2,5,2,deepcdr,preprocess
0,2,32.752410888671875,CCLE,CTRPv2,6,2,deepcdr,preprocess
0,2,35.889633655548096,CCLE,CTRPv2,7,2,deepcdr,preprocess
0,2,30.85108017921448,CCLE,CTRPv2,8,2,deepcdr,preprocess
0,2,33.61419701576233,CCLE,CTRPv2,9,2,deepcdr,preprocess
0,2,39.92906355857849,CCLE,GDSCv1,0,2,deepcdr,preprocess
0,2,36.89224028587341,CCLE,GDSCv1,1,2,deepcdr,preprocess
0,2,36.95122289657593,CCLE,GDSCv1,2,2,deepcdr,preprocess
0,2,35.534133434295654,CCLE,GDSCv1,3,2,deepcdr,preprocess
0,2,38.36151099205017,CCLE,GDSCv1,4,2,deepcdr,preprocess
0,2,37.74561142921448,CCLE,GDSCv1,5,2,deepcdr,preprocess
0,2,31.979945421218872,CCLE,GDSCv1,6,2,deepcdr,preprocess
0,2,37.87172508239746,CCLE,GDSCv1,7,2,deepcdr,preprocess
0,2,36.4818160533905,CCLE,GDSCv1,8,2,deepcdr,preprocess
0,2,36.74699902534485,CCLE,GDSCv1,9,2,deepcdr,preprocess
0,2,37.0303168296814,CCLE,GDSCv2,0,2,deepcdr,preprocess
0,2,38.85337591171265,CCLE,GDSCv2,1,2,deepcdr,preprocess
0,2,39.901021003723145,CCLE,GDSCv2,2,2,deepcdr,preprocess
0,2,36.46965026855469,CCLE,GDSCv2,3,2,deepcdr,preprocess
0,2,35.02990961074829,CCLE,GDSCv2,4,2,deepcdr,preprocess
0,2,36.03051400184631,CCLE,GDSCv2,5,2,deepcdr,preprocess
0,2,31.637046098709103,CCLE,GDSCv2,6,2,deepcdr,preprocess
0,2,44.33057236671448,CCLE,GDSCv2,7,2,deepcdr,preprocess
0,4,14.77139687538147,CCLE,GDSCv2,8,4,deepcdr,preprocess
0,2,35.46036672592163,CCLE,GDSCv2,9,2,deepcdr,preprocess
0,2,38.1993579864502,CCLE,gCSI,0,2,deepcdr,preprocess
0,2,37.05631709098816,CCLE,gCSI,1,2,deepcdr,preprocess
0,2,38.52712917327881,CCLE,gCSI,2,2,deepcdr,preprocess
0,2,40.39423227310181,CCLE,gCSI,3,2,deepcdr,preprocess
0,2,35.21891474723816,CCLE,gCSI,4,2,deepcdr,preprocess
0,2,37.27958726882935,CCLE,gCSI,5,2,deepcdr,preprocess
0,2,40.30299735069275,CCLE,gCSI,6,2,deepcdr,preprocess
0,2,36.53671860694885,CCLE,gCSI,7,2,deepcdr,preprocess
0,2,36.39145970344544,CCLE,gCSI,8,2,deepcdr,preprocess
0,2,36.0536732673645,CCLE,gCSI,9,2,deepcdr,preprocess
0,2,32.71321368217468,CTRPv2,CCLE,0,2,deepcdr,preprocess
0,2,32.12217712402344,CTRPv2,CCLE,1,2,deepcdr,preprocess
0,2,33.863269567489624,CTRPv2,CCLE,2,2,deepcdr,preprocess
0,2,39.01898360252381,CTRPv2,CCLE,3,2,deepcdr,preprocess
0,2,33.62661838531494,CTRPv2,CCLE,4,2,deepcdr,preprocess
0,2,39.08383297920227,CTRPv2,CCLE,5,2,deepcdr,preprocess
0,2,36.28389596939087,CTRPv2,CCLE,6,2,deepcdr,preprocess
0,2,35.6217987537384,CTRPv2,CCLE,7,2,deepcdr,preprocess
0,2,19.624510288238525,CTRPv2,CCLE,8,2,deepcdr,preprocess
0,2,25.3662588596344,CTRPv2,CCLE,9,2,deepcdr,preprocess
0,2,35.61748123168945,CTRPv2,CTRPv2,0,2,deepcdr,preprocess
0,2,34.61673879623413,CTRPv2,CTRPv2,1,2,deepcdr,preprocess
0,2,42.40125584602356,CTRPv2,CTRPv2,2,2,deepcdr,preprocess
0,2,36.54887366294861,CTRPv2,CTRPv2,3,2,deepcdr,preprocess
0,3,20.683624267578125,CTRPv2,CTRPv2,4,3,deepcdr,preprocess
0,2,58.115262031555176,CTRPv2,CTRPv2,5,2,deepcdr,preprocess
0,2,34.25361514091492,CTRPv2,CTRPv2,6,2,deepcdr,preprocess
0,2,31.624961614608765,CTRPv2,CTRPv2,7,2,deepcdr,preprocess
0,2,20.28859543800354,CTRPv2,CTRPv2,8,2,deepcdr,preprocess
0,2,37.19520688056946,CTRPv2,CTRPv2,9,2,deepcdr,preprocess
0,2,36.89862489700317,CTRPv2,GDSCv1,0,2,deepcdr,preprocess
0,2,34.480185985565186,CTRPv2,GDSCv1,1,2,deepcdr,preprocess
0,2,35.49901747703552,CTRPv2,GDSCv1,2,2,deepcdr,preprocess
0,2,37.283294677734375,CTRPv2,GDSCv1,3,2,deepcdr,preprocess
0,2,32.7365026473999,CTRPv2,GDSCv1,4,2,deepcdr,preprocess
0,2,34.310545682907104,CTRPv2,GDSCv1,5,2,deepcdr,preprocess
0,2,35.9024178981781,CTRPv2,GDSCv1,6,2,deepcdr,preprocess
