met,split,value,src,trg,model
mse,0,0.00644666389064143,CCLE,CCLE,graphdrp
mse,1,0.006386023792016807,CCLE,CCLE,graphdrp
mse,2,0.0071724369012605045,CCLE,CCLE,graphdrp
mse,3,0.006445924107142857,CCLE,CCLE,graphdrp
mse,4,0.006877085304621848,CCLE,CCLE,graphdrp
mse,5,0.0062755374159663875,CCLE,CCLE,graphdrp
mse,6,0.007239757457983193,CCLE,CCLE,graphdrp
mse,7,0.0059972778781512606,CCLE,CCLE,graphdrp
mse,8,0.006965132457983194,CCLE,CCLE,graphdrp
mse,9,0.005968226092436976,CCLE,CCLE,graphdrp
rmse,0,0.08029111962503344,CCLE,CCLE,graphdrp
rmse,1,0.07991260095890264,CCLE,CCLE,graphdrp
rmse,2,0.08469024088559735,CCLE,CCLE,graphdrp
rmse,3,0.0802865126104183,CCLE,CCLE,graphdrp
rmse,4,0.08292819366549502,CCLE,CCLE,graphdrp
rmse,5,0.07921828965564952,CCLE,CCLE,graphdrp
rmse,6,0.08508676429376777,CCLE,CCLE,graphdrp
rmse,7,0.07744209370976007,CCLE,CCLE,graphdrp
rmse,8,0.08345736910532942,CCLE,CCLE,graphdrp
rmse,9,0.07725429497728249,CCLE,CCLE,graphdrp
pcc,0,0.8810386090947506,CCLE,CCLE,graphdrp
pcc,1,0.8715069739571996,CCLE,CCLE,graphdrp
pcc,2,0.8674825865081887,CCLE,CCLE,graphdrp
pcc,3,0.8887800028421997,CCLE,CCLE,graphdrp
pcc,4,0.8605498579519772,CCLE,CCLE,graphdrp
pcc,5,0.8774737398764794,CCLE,CCLE,graphdrp
pcc,6,0.8628765872132413,CCLE,CCLE,graphdrp
pcc,7,0.8879728861001583,CCLE,CCLE,graphdrp
pcc,8,0.8787256627854845,CCLE,CCLE,graphdrp
pcc,9,0.8800221515130975,CCLE,CCLE,graphdrp
scc,0,0.790281856152724,CCLE,CCLE,graphdrp
scc,1,0.7532126693022373,CCLE,CCLE,graphdrp
scc,2,0.7673019518988616,CCLE,CCLE,graphdrp
scc,3,0.7846490316249028,CCLE,CCLE,graphdrp
scc,4,0.755986179858329,CCLE,CCLE,graphdrp
scc,5,0.7535970037696935,CCLE,CCLE,graphdrp
scc,6,0.7867257761521824,CCLE,CCLE,graphdrp
scc,7,0.790911604538229,CCLE,CCLE,graphdrp
scc,8,0.8088758586797318,CCLE,CCLE,graphdrp
scc,9,0.7709047367635039,CCLE,CCLE,graphdrp
r2,0,0.7632232197436649,CCLE,CCLE,graphdrp
r2,1,0.7441670138434815,CCLE,CCLE,graphdrp
r2,2,0.7330889747544337,CCLE,CCLE,graphdrp
r2,3,0.7702222984212114,CCLE,CCLE,graphdrp
r2,4,0.7261212422390809,CCLE,CCLE,graphdrp
r2,5,0.7484613869037273,CCLE,CCLE,graphdrp
r2,6,0.7145543647650003,CCLE,CCLE,graphdrp
r2,7,0.7641481130198824,CCLE,CCLE,graphdrp
r2,8,0.7490952795697722,CCLE,CCLE,graphdrp
r2,9,0.7497267108220634,CCLE,CCLE,graphdrp
mse,0,0.029785562276455086,CCLE,CTRPv2,graphdrp
mse,1,0.02996802641176983,CCLE,CTRPv2,graphdrp
mse,2,0.029709762826435036,CCLE,CTRPv2,graphdrp
mse,3,0.031633119808766326,CCLE,CTRPv2,graphdrp
mse,4,0.031048787811975648,CCLE,CTRPv2,graphdrp
mse,5,0.031051660159035814,CCLE,CTRPv2,graphdrp
mse,6,0.031596999544869456,CCLE,CTRPv2,graphdrp
mse,7,0.029542081725672825,CCLE,CTRPv2,graphdrp
mse,8,0.03078805842042105,CCLE,CTRPv2,graphdrp
mse,9,0.03092569339225228,CCLE,CTRPv2,graphdrp
rmse,0,0.17258494220659892,CCLE,CTRPv2,graphdrp
rmse,1,0.17311275635195064,CCLE,CTRPv2,graphdrp
rmse,2,0.17236520190118143,CCLE,CTRPv2,graphdrp
rmse,3,0.17785702069012155,CCLE,CTRPv2,graphdrp
rmse,4,0.17620666222358236,CCLE,CTRPv2,graphdrp
rmse,5,0.1762148125414995,CCLE,CTRPv2,graphdrp
rmse,6,0.1777554487065571,CCLE,CTRPv2,graphdrp
rmse,7,0.17187810135579468,CCLE,CTRPv2,graphdrp
rmse,8,0.17546526271721433,CCLE,CTRPv2,graphdrp
rmse,9,0.17585702542762482,CCLE,CTRPv2,graphdrp
pcc,0,0.08479575566791725,CCLE,CTRPv2,graphdrp
pcc,1,0.09871229468139972,CCLE,CTRPv2,graphdrp
pcc,2,0.06585239032122832,CCLE,CTRPv2,graphdrp
pcc,3,0.05882666443499912,CCLE,CTRPv2,graphdrp
pcc,4,0.05634864789352841,CCLE,CTRPv2,graphdrp
pcc,5,0.09246833943748875,CCLE,CTRPv2,graphdrp
pcc,6,0.0608928758783067,CCLE,CTRPv2,graphdrp
pcc,7,0.07208250634749902,CCLE,CTRPv2,graphdrp
pcc,8,0.06257534350707308,CCLE,CTRPv2,graphdrp
pcc,9,0.03339665387776682,CCLE,CTRPv2,graphdrp
scc,0,0.04056957524668539,CCLE,CTRPv2,graphdrp
scc,1,0.051033775674742356,CCLE,CTRPv2,graphdrp
scc,2,0.02671609423148019,CCLE,CTRPv2,graphdrp
scc,3,0.032552780743104956,CCLE,CTRPv2,graphdrp
scc,4,0.023516349445823006,CCLE,CTRPv2,graphdrp
scc,5,0.05183122990210228,CCLE,CTRPv2,graphdrp
scc,6,0.03401217273042603,CCLE,CTRPv2,graphdrp
scc,7,0.0410880236266361,CCLE,CTRPv2,graphdrp
scc,8,0.028352069243244866,CCLE,CTRPv2,graphdrp
scc,9,0.0004071191711472497,CCLE,CTRPv2,graphdrp
r2,0,-0.4265799360692557,CCLE,CTRPv2,graphdrp
r2,1,-0.4353190584694393,CCLE,CTRPv2,graphdrp
r2,2,-0.4229495203141309,CCLE,CTRPv2,graphdrp
r2,3,-0.5150687308036193,CCLE,CTRPv2,graphdrp
r2,4,-0.48708214136515804,CCLE,CTRPv2,graphdrp
r2,5,-0.4872197124691522,CCLE,CTRPv2,graphdrp
r2,6,-0.5133387502418107,CCLE,CTRPv2,graphdrp
r2,7,-0.4149184315676724,CCLE,CTRPv2,graphdrp
r2,8,-0.47459450338528497,CCLE,CTRPv2,graphdrp
r2,9,-0.4811865323519866,CCLE,CTRPv2,graphdrp
mse,0,0.031936079362393864,CCLE,GDSCv1,graphdrp
mse,1,0.03054181473601256,CCLE,GDSCv1,graphdrp
mse,2,0.03121870870065139,CCLE,GDSCv1,graphdrp
mse,3,0.033186105361928585,CCLE,GDSCv1,graphdrp
mse,4,0.032880481027451426,CCLE,GDSCv1,graphdrp
mse,5,0.03214944768768175,CCLE,GDSCv1,graphdrp
mse,6,0.033012445171222524,CCLE,GDSCv1,graphdrp
mse,7,0.03182896469861579,CCLE,GDSCv1,graphdrp
mse,8,0.032551381557985336,CCLE,GDSCv1,graphdrp
mse,9,0.03265406472810283,CCLE,GDSCv1,graphdrp
rmse,0,0.17870668527616382,CCLE,GDSCv1,graphdrp
rmse,1,0.1747621662031361,CCLE,GDSCv1,graphdrp
rmse,2,0.17668816797015977,CCLE,GDSCv1,graphdrp
rmse,3,0.1821705392261015,CCLE,GDSCv1,graphdrp
rmse,4,0.18132975769975382,CCLE,GDSCv1,graphdrp
rmse,5,0.1793026706094523,CCLE,GDSCv1,graphdrp
rmse,6,0.18169327222333392,CCLE,GDSCv1,graphdrp
rmse,7,0.17840673949886476,CCLE,GDSCv1,graphdrp
rmse,8,0.18042001429438292,CCLE,GDSCv1,graphdrp
rmse,9,0.18070435724714232,CCLE,GDSCv1,graphdrp
pcc,0,0.12246471259072618,CCLE,GDSCv1,graphdrp
pcc,1,0.1677355801403225,CCLE,GDSCv1,graphdrp
pcc,2,0.14069671327111097,CCLE,GDSCv1,graphdrp
pcc,3,0.109973301918942,CCLE,GDSCv1,graphdrp
pcc,4,0.1169919175152087,CCLE,GDSCv1,graphdrp
pcc,5,0.15502283172435474,CCLE,GDSCv1,graphdrp
pcc,6,0.09435690336252767,CCLE,GDSCv1,graphdrp
pcc,7,0.10963674518581124,CCLE,GDSCv1,graphdrp
pcc,8,0.10228639156823863,CCLE,GDSCv1,graphdrp
pcc,9,0.09433526900458435,CCLE,GDSCv1,graphdrp
scc,0,0.02352607129732037,CCLE,GDSCv1,graphdrp
